Link,Visualizacoes,Like,Deslikes,Like Comentarios,Qtd Caracteres,Codigo,Opiniao,Emoji ,Densidade semantica,Dificuldade,Densidade semantica 2,Dificuldade 2,Tristeza,Alegria,Medo,Aversao,Raiva,Pontuacao,Resultado
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,92,0,1,0,3,2,3,3,0.0,0.34375,0.0,0.0,0.0,0.34375,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,72,0,1,0,3,2,3,3,0.0,0.7875,0.0,0.0,0.0,0.7875,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,121,0,1,0,3,2,3,3,0.0,0.7875,0.0,0.0,0.0,0.7875,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,36,0,1,0,3,2,3,3,0.0,0.91875,0.0,0.0,0.0,0.91875,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,5,36,0,1,0,3,2,3,3,0.0,0.9375,0.0,0.0,0.0,0.9375,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,1,104,0,1,1,3,2,3,3,0.0,0.8569444444444444,0.0,0.0,0.0,0.8569444444444444,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,2,88,0,1,0,3,2,3,3,0.0,0.9125,0.0,0.0,0.0,0.9125,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,4,47,0,1,0,3,2,3,3,0.0,0.7875,0.0,0.0,0.0,0.7875,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,5,91,0,1,0,3,2,3,3,0.0,0.60625,0.0,0.0,0.0,0.60625,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,202,0,1,0,3,2,3,3,0.0,0.7583333333333333,0.0,0.0,0.0,0.7583333333333333,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,1,69,0,1,0,3,2,3,3,0.0,1.0,0.0,0.0,0.0,1.0,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,1,218,0,1,0,3,2,3,3,0.41333333333333333,0.4716666666666667,0.0,0.0,0.0,0.53,0
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,41,0,1,0,3,2,3,3,0.0,1.0,0.0,0.0,0.0,1.0,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,36,0,1,0,3,2,3,3,0.0,1.0,0.0,0.0,0.0,1.0,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,45,0,1,0,3,2,3,3,0.0,1.0,0.0,0.0,0.0,1.0,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,1,28,0,1,0,3,2,3,3,0.0,0.9375,0.0,0.0,0.0,0.9375,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,1,33,0,1,0,3,2,3,3,0.0,0.8,0.0,0.0,0.0,0.8,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,27,0,1,0,3,2,3,3,0.0,0.2625,0.0,0.0,0.0,0.2625,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,3,37,0,1,0,3,2,3,3,0.0,0.25,0.0,0.0,0.0,0.25,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,3,23,0,1,0,3,2,3,3,0.0,1.0,0.0,0.0,0.0,1.0,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,54,0,1,0,3,2,3,3,0.0,0.875,0.0,0.0,0.0,0.875,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,161,0,1,0,3,2,3,3,0.145,0.45208333333333334,0.0,0.0,0.145,0.21041666666666667,0
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,236,0,1,0,3,2,3,3,0.0,0.65625,0.0,0.0,0.0,0.65625,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,24,0,1,0,3,2,3,3,0.0,1.0,0.0,0.0,0.0,1.0,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,1,52,0,1,0,3,2,3,3,0.0,0.525,0.0,0.0,0.0,0.525,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,18,0,1,0,3,2,3,3,0.0,1.0,0.0,0.0,0.0,1.0,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,11,0,1,1,3,2,3,3,0.0,1.0,0.0,0.0,0.0,1.0,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,34,0,1,0,3,2,3,3,0.21,0.6,0.21,0.0,0.21,0.39,0
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,1,20,0,1,0,3,2,3,3,0.0,1.0,0.0,0.0,0.0,1.0,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,2,100,0,1,0,3,2,3,3,0.0,0.8604166666666667,0.0,0.0,0.0,0.8604166666666667,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,2,59,0,1,0,3,2,3,3,0.0,0.525,0.0,0.0,0.0,0.525,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,10,1,0,0,3,2,3,3,0.0,1.0,0.0,0.0,0.0,1.0,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,186,0,1,0,3,2,3,3,0.175,0.3675,0.0,0.35,0.0,0.0175,0
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,1,9,0,1,0,3,2,3,3,0.0,1.0,0.0,0.0,0.0,1.0,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,1,290,0,1,0,3,2,3,3,0.0,0.74375,0.0,0.0,0.0,0.74375,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,1,9,0,1,0,3,2,3,3,0.0,1.0,0.0,0.0,0.0,1.0,1
