Visualizacoes;Like;Deslikes;Like Comentarios;Qtd Caracteres;Codigo;Opiniao;Emoji ;Densidade semantica;Dificuldade;Tristeza;Alegria;Medo;Aversao;Raiva;Pontuacao;Resultado
44.693;2100;8;;18;;1;;3;3;;1.0;;;;1.0;1
44.693;2100;8;;11;;1;1;3;2;;1.0;;;;1.0;1
44.693;2100;8;;11;;1;1;3;3;;1.0;;;;1.0;1
44.693;2100;8;;34;;1;;3;2;0.21;0.6;0.21;;0.21;0.39;
44.693;2100;8;;34;;1;;3;3;0.21;0.6;0.21;;0.21;0.39;
44.693;2100;8;1;20;;1;;3;2;;1.0;;;;1.0;1
44.693;2100;8;1;20;;1;;3;3;;1.0;;;;1.0;1
44.693;2100;8;2;100;;1;;3;2;;0.8604166666666667;;;;0.8604166666666667;1
44.693;2100;8;2;100;;1;;3;3;;0.8604166666666667;;;;0.8604166666666667;1
44.693;2100;8;2;59;;1;;3;2;;0.525;;;;0.525;1
44.693;2100;8;2;59;;1;;3;3;;0.525;;;;0.525;1
44.693;2100;8;;10;1;;;3;2;;1.0;;;;1.0;1
44.693;2100;8;;10;1;;;3;3;;1.0;;;;1.0;1
44.693;2100;8;;186;;1;;3;2;0.175;0.3675;;0.35;;0.0175;
44.693;2100;8;;186;;1;;3;3;0.175;0.3675;;0.35;;0.0175;
44.693;2100;8;1;9;;1;;3;2;;1.0;;;;1.0;1
44.693;2100;8;1;9;;1;;3;3;;1.0;;;;1.0;1
44.693;2100;8;1;290;;1;;3;2;;0.74375;;;;0.74375;1
44.693;2100;8;1;290;;1;;3;3;;0.74375;;;;0.74375;1
44.693;2100;8;1;9;;1;;3;2;;1.0;;;;1.0;1
44.693;2100;8;1;9;;1;;3;3;;1.0;;;;1.0;1
45.008;2100;11;1;604;;1;;4;3;0.336;0.42;;0.168;;0.168;
45.008;2100;11;1;604;;1;;3;3;0.336;0.42;;0.168;;0.168;
45.008;2100;11;9;108;;1;;4;3;;0.525;;;;0.525;1
45.008;2100;11;9;108;;1;;3;3;;0.525;;;;0.525;1
45.008;2100;11;;121;;1;;4;3;;0.9375;;;;0.9375;1
45.008;2100;11;;121;;1;;3;3;;0.9375;;;;0.9375;1
45.008;2100;11;;58;;1;1;4;3;;0.525;;;;0.525;1
45.008;2100;11;;58;;1;1;3;3;;0.525;;;;0.525;1
