26/06/2021,06:00,Bordj Bou Arreridj U21, ASO Chlef U21, 0, 1, 2.03,3.29,3.42,
26/06/2021,06:00,Medea U21, Mlila U21, 1, 1, 1.67,3.76,4.28,
23/06/2021,06:00,Constantine U21, CR Belouizdad U21, 3, 1, 2.15,3.25,3.10,
23/06/2021,06:00,Hussein Dey U21, USM Alger U21, 1, 2, 2.72,3.26,2.39,
23/06/2021,06:00,MC Alger U21, Paradou U21, 0, 2, 2.11,3.27,3.16,
20/06/2021,06:00,ES Setif U21, Bordj Bou Arreridj U21, 2, 2, 1.25,4.99,11.38,
19/06/2021,06:00,CR Belouizdad U21, Paradou U21, 2, 1, 2.10,3.33,3.19,
19/06/2021,06:00,Magra U21, Bel Abbes U21, 6, 1, 1.30,5.00,8.28,
19/06/2021,06:00,Oran U21, MC Alger U21, 0, 0, 2.12,3.36,3.07,
19/06/2021,06:00,Tlemcen U21, Medea U21, 1, 1, 1.64,3.76,4.64,
18/06/2021,06:00,ASO Chlef U21, Hussein Dey U21, 0, 0, 1.77,3.52,4.08,
18/06/2021,06:00,Mlila U21, Constantine U21, 1, 2, 3.54,3.02,2.09,
13/06/2021,07:00,Skikda U21, Tlemcen U21, 1, 0, 3.00,3.30,2.15,
13/06/2021,06:00,Kabylie U21, Biskra U21, 2, 2, 1.22,5.60,9.32,
13/06/2021,06:00,MC Alger U21, Saoura U21, 3, 2, 3.28,3.08,2.16,
13/06/2021,06:00,Medea U21, Magra U21, 0, 0, 1.84,3.43,3.88,
10/06/2021,06:00,Bel Abbes U21, ASO Chlef U21, 0, 2, 3.46,3.23,2.03,
10/06/2021,06:00,Bordj Bou Arreridj U21, Mlila U21, 2, 1, 1.94,3.41,3.50,
10/06/2021,06:00,Paradou U21, ES Setif U21, 1, 1, 1.65,3.59,4.80,
10/06/2021,06:00,RC Relizane U21, Oran U21, 0, 2, 4.50,3.78,1.66,
08/06/2021,06:00,Medea U21, MC Alger U21, 1, 6, 2.36,3.24,2.74,
08/06/2021,06:00,Skikda U21, CR Belouizdad U21, 1, 3, 13.93,5.13,1.23,
30/05/2021,06:00,ASO Chlef U21, Skikda U21, 2, 0, 1.40,4.42,6.46,
30/05/2021,06:00,Biskra U21, Tlemcen U21, 0, 1, 2.03,3.29,3.24,
30/05/2021,06:00,Bordj Bou Arreridj U21, Paradou U21, 0, 3, 4.03,3.49,1.77,
30/05/2021,06:00,CR Belouizdad U21, Medea U21, 3, 0, 1.45,4.17,6.10,
30/05/2021,06:00,ES Setif U21, Hussein Dey U21, 1, 1, 1.40,4.47,6.44,
22/05/2021,06:00,Bordj Bou Arreridj U21, Skikda U21, 3, 0, 1.50,3.79,5.62,
22/05/2021,06:00,ES Setif U21, Bel Abbes U21, 1, 2, 1.19,5.88,11.89,
