visualizacoes;like;deslikes;like comentarios;qtd caracteres;codigo;opiniao;emoji ;densidade semantica;dificuldade;tristeza;alegria;medo;aversao;raiva;pontuacao;resultado
126.553;6100;22;1.45;97.95;0.15;0.85;0.0;2;1;0.382;0.684;0.281;0.326;0.242;0.352;0.6
126.553;6100;22;1.45;97.95;0.15;0.85;0.0;1;1;0.382;0.684;0.281;0.326;0.242;0.352;0.6
126.553;6100;22;2.211;35.105;0.0;1.0;0.0;2;1;0.616;0.624;0.556;0.487;0.326;0.096;0.231
126.553;6100;22;2.211;35.105;0.0;1.0;0.0;1;1;0.616;0.624;0.556;0.487;0.326;0.096;0.231
145.222;7600;15;4.35;152.6;0.0;1.0;0.0;1;1;0.731;0.681;0.45;0.325;0.25;0.512;0.875
145.222;7600;15;4.35;152.6;0.0;1.0;0.0;2;1;0.731;0.681;0.45;0.325;0.25;0.512;0.875
145.222;7600;15;0.6;86.65;0.0;1.0;0.05;1;1;0.326;0.77;0.311;0.311;0.227;0.668;0.882
145.222;7600;15;0.6;86.65;0.0;1.0;0.05;2;1;0.326;0.77;0.311;0.311;0.227;0.668;0.882
145.222;7600;15;0.6;60.75;0.0;1.0;0.05;1;1;0.4;0.655;0.2;0.2;0.2;0.673;1.0
145.222;7600;15;0.6;60.75;0.0;1.0;0.05;2;1;0.4;0.655;0.2;0.2;0.2;0.673;1.0
145.222;7600;15;1.2;107.65;0.05;0.95;0.05;1;1;0.505;0.609;0.63;0.42;0.0;0.578;1.0
145.222;7600;15;1.2;107.65;0.05;0.95;0.05;2;1;0.505;0.609;0.63;0.42;0.0;0.578;1.0
145.222;7600;15;2.368;51.263;0.053;0.947;0.0;1;1;0.445;0.594;0.33;0.0;0.19;0.504;1.0
145.222;7600;15;2.368;51.263;0.053;0.947;0.0;2;1;0.445;0.594;0.33;0.0;0.19;0.504;1.0
60.314;1600;5;5.45;135.35;0.05;0.95;0.0;1;1;0.568;0.811;0.232;0.232;0.232;0.713;0.895
60.314;1600;5;5.45;135.35;0.05;0.95;0.0;1;1;0.568;0.811;0.232;0.232;0.232;0.713;0.895
60.314;1600;5;0.933;101.933;0.133;0.867;0.0;1;1;0.433;0.732;0.263;0.394;0.0;0.444;0.5
60.314;1600;5;0.933;101.933;0.133;0.867;0.0;1;1;0.433;0.732;0.263;0.394;0.0;0.444;0.5
16.222;1000;9;0.65;55.5;0.05;0.95;0.1;1;1;0.28;0.69;0.0;0.0;0.0;0.655;1.0
16.222;1000;9;0.65;55.5;0.05;0.95;0.1;1;1;0.28;0.69;0.0;0.0;0.0;0.655;1.0
16.222;1000;9;0.0;28.0;0.0;1.0;0.0;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16.222;1000;9;0.0;28.0;0.0;1.0;0.0;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32.839;178;16;0.545;61.545;0.091;0.909;0.0;1;2;0.0;0.479;0.0;0.0;0.0;0.479;1.0
32.839;178;16;0.545;61.545;0.091;0.909;0.0;1;1;0.0;0.479;0.0;0.0;0.0;0.479;1.0
173.270;8100;52;20.7;325.7;0.55;0.45;0.05;1;1;0.393;0.531;0.144;0.175;0.16;0.397;0.895
173.270;8100;52;20.7;325.7;0.55;0.45;0.05;1;1;0.393;0.531;0.144;0.175;0.16;0.397;0.895
173.270;8100;52;1.35;314.0;0.55;0.45;0.0;1;1;0.339;0.545;0.198;0.36;0.218;0.404;0.867
173.270;8100;52;1.35;314.0;0.55;0.45;0.0;1;1;0.339;0.545;0.198;0.36;0.218;0.404;0.867
173.270;8100;52;1.3;265.5;0.55;0.45;0.05;1;1;0.358;0.729;0.266;0.204;0.192;0.664;1.0
173.270;8100;52;1.3;265.5;0.55;0.45;0.05;1;1;0.358;0.729;0.266;0.204;0.192;0.664;1.0
29.290;802;21;3.0;55.5;0.0;1.0;0.071;1;1;0.576;0.58;0.504;0.686;0.483;0.184;0.273
29.290;802;21;3.0;55.5;0.0;1.0;0.071;1;1;0.576;0.58;0.504;0.686;0.483;0.184;0.273
14.417;158;8;2.0;18.0;0.0;1.0;0.0;2;1;0.787;0.0;0.0;0.0;0.0;-0.787;-1.0
14.417;158;8;2.0;18.0;0.0;1.0;0.0;1;1;0.787;0.0;0.0;0.0;0.0;-0.787;-1.0
31.201;1300;10;1.611;46.556;0.111;0.889;0.0;1;1;0.0;0.78;0.0;0.0;0.0;0.78;1.0
31.201;1300;10;1.611;46.556;0.111;0.889;0.0;1;1;0.0;0.78;0.0;0.0;0.0;0.78;1.0
7.664;257;5;1.571;332.714;0.286;0.714;0.0;2;1;0.306;0.738;0.157;0.0;0.145;0.7;1.0
7.664;257;5;1.571;332.714;0.286;0.714;0.0;1;1;0.306;0.738;0.157;0.0;0.145;0.7;1.0
22.430;574;13;40.0;228.0;0.0;1.0;0.0;2;2;0.261;0.65;0.0;0.784;0.784;-0.134;0.0
22.430;574;13;40.0;228.0;0.0;1.0;0.0;2;2;0.261;0.65;0.0;0.784;0.784;-0.134;0.0
42.261;2500;14;7.05;208.15;0.05;0.95;0.0;1;1;0.221;0.765;0.196;0.222;0.185;0.73;1.0
42.261;2500;14;7.05;208.15;0.05;0.95;0.0;1;1;0.221;0.765;0.196;0.222;0.185;0.73;1.0
42.261;2500;14;0.65;158.5;0.2;0.8;0.0;1;1;0.356;0.668;0.252;0.293;0.223;0.601;0.889
42.261;2500;14;0.65;158.5;0.2;0.8;0.0;1;1;0.356;0.668;0.252;0.293;0.223;0.601;0.889
42.261;2500;14;0.75;99.65;0.05;0.95;0.0;1;1;0.155;0.708;0.16;0.16;0.155;0.678;1.0
42.261;2500;14;0.75;99.65;0.05;0.95;0.0;1;1;0.155;0.708;0.16;0.16;0.155;0.678;1.0
42.261;2500;14;1.158;145.474;0.158;0.842;0.0;1;1;0.247;0.592;0.271;0.171;0.171;0.452;0.714
42.261;2500;14;1.158;145.474;0.158;0.842;0.0;1;1;0.247;0.592;0.271;0.171;0.171;0.452;0.714
94.497;3200;74;15.15;144.9;0.05;0.95;0.0;1;1;0.295;0.674;0.176;0.381;0.205;0.65;1.0
94.497;3200;74;15.15;144.9;0.05;0.95;0.0;1;1;0.295;0.674;0.176;0.381;0.205;0.65;1.0
94.497;3200;74;1.0;50.05;0.05;0.95;0.0;1;1;0.0;0.789;0.0;0.0;0.0;0.789;1.0
94.497;3200;74;1.0;50.05;0.05;0.95;0.0;1;1;0.0;0.789;0.0;0.0;0.0;0.789;1.0
94.497;3200;74;3.7;43.25;0.0;1.0;0.1;1;1;0.231;0.691;0.0;0.463;0.0;0.62;0.846
94.497;3200;74;3.7;43.25;0.0;1.0;0.1;1;1;0.231;0.691;0.0;0.463;0.0;0.62;0.846
94.497;3200;74;8.909;43.182;0.0;1.0;0.182;1;1;0.618;0.58;0.625;0.575;0.63;0.027;0.143
94.497;3200;74;8.909;43.182;0.0;1.0;0.182;1;1;0.618;0.58;0.625;0.575;0.63;0.027;0.143
24.411;1200;5;1.1;63.05;0.0;1.0;0.0;1;1;0.3;0.688;0.0;0.4;0.0;0.701;1.0
24.411;1200;5;1.1;63.05;0.0;1.0;0.0;1;1;0.3;0.688;0.0;0.4;0.0;0.701;1.0
24.411;1200;5;1.5;30.75;0.5;0.5;0.0;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24.411;1200;5;1.5;30.75;0.5;0.5;0.0;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0
96.036;4800;15;5.75;116.85;0.0;1.0;0.1;2;1;0.311;0.767;0.383;0.15;0.0;0.633;0.778
96.036;4800;15;5.75;116.85;0.0;1.0;0.1;1;1;0.311;0.767;0.383;0.15;0.0;0.633;0.778
96.036;4800;15;0.3;52.85;0.05;0.95;0.05;2;1;0.388;0.705;0.517;0.647;0.453;0.674;0.889
96.036;4800;15;0.3;52.85;0.05;0.95;0.05;1;1;0.388;0.705;0.517;0.647;0.453;0.674;0.889
96.036;4800;15;0.45;140.0;0.1;0.9;0.0;2;1;0.231;0.713;0.175;0.167;0.164;0.678;1.0
96.036;4800;15;0.45;140.0;0.1;0.9;0.0;1;1;0.231;0.713;0.175;0.167;0.164;0.678;1.0
96.036;4800;15;1.0;242.5;0.15;0.85;0.05;2;1;0.383;0.475;0.384;0.432;0.337;0.283;0.818
96.036;4800;15;1.0;242.5;0.15;0.85;0.05;1;1;0.383;0.475;0.384;0.432;0.337;0.283;0.818
96.036;4800;15;3.111;34.556;0.111;0.889;0.0;2;1;0.759;0.411;0.575;0.444;0.762;0.055;0.385
96.036;4800;15;3.111;34.556;0.111;0.889;0.0;1;1;0.759;0.411;0.575;0.444;0.762;0.055;0.385
1.674;50;0.0;1.333;68.667;0.0;1.0;0.0;2;2;0.0;0.379;0.0;0.0;0.0;0.379;1.0
1.674;50;0.0;1.333;68.667;0.0;1.0;0.0;1;1;0.0;0.379;0.0;0.0;0.0;0.379;1.0
456;10;0.0;0.333;49.0;0.0;1.0;0.0;1;2;0.0;0.904;0.0;0.0;0.0;0.904;1.0
456;10;0.0;0.333;49.0;0.0;1.0;0.0;1;1;0.0;0.904;0.0;0.0;0.0;0.904;1.0
